question,category
푸드코트 어디가 좋아?,푸드코트
식당 중에 깔끔한 곳?,식당
푸드코트 재방문할만한 데 어딘가요?,푸드코트
학원 할인 받는 데 있어?,학원
테마파크 분위기 좋은 곳 있어?,테마
자동차 세차장 추천 부탁해,자동차 정비소
카페 가성비 좋은 데 알려줘,카페
푸드코트 중에 괜찮은 곳 추천해줘,푸드코트
아이스크림/빙수 추천 부탁해,아이스크림/빙수
주유소 중에 깔끔한 곳?,주유소
"키즈카페, 실내놀이터 중에 깔끔한 곳?","키즈카페, 실내놀이터"
심리 제휴처 뭐 있어?,심리
카페 중에 깔끔한 곳?,카페
루지 관련 제휴 혜택 뭐 있어?,루지
워터파크 추천 부탁해,워터파크
영화관 가고 싶은데 추천 좀,영화관
미용 관련 장소 알려줘,미용
패밀리레스토랑 가성비 좋은 데 알려줘,패밀리레스토랑
제과 중에 깔끔한 곳?,제과
루지 중에 괜찮은 곳 추천해줘,루지
편의점 가성비 좋은 데 알려줘,편의점
전시관 추천 부탁해,전시관
쇼핑 관련 장소 알려줘,쇼핑
피자 근처 어디 있어?,피자
이탈리아 음식 추천 부탁해,이탈리아 음식
"키즈카페, 실내놀이터 제휴처 뭐 있어?","키즈카페, 실내놀이터"
경양식 가고 싶은데 추천 좀,경양식
카페 관련 제휴 혜택 뭐 있어?,카페
상담 가고 싶은데 추천 좀,상담
독서실 재방문할만한 데 어딘가요?,독서실
편의점 할인 받는 데 있어?,편의점
심리 할인 받는 데 있어?,심리
미용 요즘 인기 있는 곳은?,미용
독서실 중에 괜찮은 곳 추천해줘,독서실
쇼핑 관련 제휴 혜택 뭐 있어?,쇼핑
미술관 어디가 좋아?,미술관
자동차 정비소 관련 장소 알려줘,자동차 정비소
패밀리레스토랑 근처 어디 있어?,패밀리레스토랑
호텔 관련 장소 알려줘,호텔
이탈리아 음식 중에 괜찮은 곳 추천해줘,이탈리아 음식
자동차 정비소 중에 깔끔한 곳?,자동차 정비소
자동차 정비소 재방문할만한 데 어딘가요?,자동차 정비소
"키즈카페, 실내놀이터 중에 괜찮은 곳 추천해줘","키즈카페, 실내놀이터"
"키즈카페, 실내놀이터 근처 어디 있어?","키즈카페, 실내놀이터"
복합문화 추천 부탁해,복합문화
호텔 어디가 좋아?,호텔
슈퍼마켓 제일 만족스러웠던 곳?,슈퍼마켓
테마파크 가성비 좋은 데 알려줘,테마
자동차 세차장 근처 어디 있어?,자동차 정비소
영화관 분위기 좋은 곳 있어?,영화관
테마파크 어디가 좋아?,테마
치킨 관련 제휴 혜택 뭐 있어?,치킨
관광 재방문할만한 데 어딘가요?,관광
제과 가성비 좋은 데 알려줘,제과
치킨 추천 부탁해,치킨
주유소 가고 싶은데 추천 좀,주유소
복합문화 어디가 좋아?,복합문화
피자 제일 만족스러웠던 곳?,피자
타이어 소매업 가고 싶은데 추천 좀,자동차 정비소
"온천, 스파 어디가 좋아?","온천, 스파"
전시관 가고 싶은데 추천 좀,전시관
독서실 근처 어디 있어?,독서실
푸드코트 추천 부탁해,푸드코트
푸드코트 제휴처 뭐 있어?,푸드코트
"관람, 체험 가고 싶은데 추천 좀","관람, 체험"
푸드코트 제일 만족스러웠던 곳?,푸드코트
편의점 추천 부탁해,편의점
패밀리레스토랑 관련 장소 알려줘,패밀리레스토랑
상담 관련 제휴 혜택 뭐 있어?,상담
"키즈카페, 실내놀이터 요즘 인기 있는 곳은?","키즈카페, 실내놀이터"
전시관 중에 깔끔한 곳?,전시관
피자 관련 장소 알려줘,피자
치킨 중에 괜찮은 곳 추천해줘,치킨
쇼핑 제일 만족스러웠던 곳?,쇼핑
주유소 어디가 좋아?,주유소
테마파크 중에 괜찮은 곳 추천해줘,테마
테마 가성비 좋은 데 알려줘,테마
쇼핑 재방문할만한 데 어딘가요?,쇼핑
쇼핑 할인 받는 데 있어?,쇼핑
학원 제휴처 뭐 있어?,학원
심리 재방문할만한 데 어딘가요?,심리
치킨 제휴처 뭐 있어?,치킨
자동차 정비소 어디가 좋아?,자동차 정비소
"도서, 음반, 문구 관련 장소 알려줘","도서, 음반, 문구"
호텔 요즘 인기 있는 곳은?,호텔
버거 요즘 인기 있는 곳은?,버거
버거 재방문할만한 데 어딘가요?,버거
미술관 할인 받는 데 있어?,미술관
제과 분위기 좋은 곳 있어?,제과
테마 중에 괜찮은 곳 추천해줘,테마
패밀리레스토랑 가고 싶은데 추천 좀,패밀리레스토랑
자동차 세차장 요즘 인기 있는 곳은?,자동차 정비소
"키즈카페, 실내놀이터 추천 부탁해","키즈카페, 실내놀이터"
테마파크 할인 받는 데 있어?,테마
전시관 분위기 좋은 곳 있어?,전시관
"온천, 스파 할인 받는 데 있어?","온천, 스파"
버거 어디가 좋아?,버거
주유소 근처 어디 있어?,주유소
복합문화 근처 어디 있어?,복합문화
식당 가고 싶은데 추천 좀,식당
워터파크 가성비 좋은 데 알려줘,워터파크
미용 추천 부탁해,미용
호텔 관련 제휴 혜택 뭐 있어?,호텔
타이어 소매업 분위기 좋은 곳 있어?,자동차 정비소
미술관 중에 괜찮은 곳 추천해줘,미술관
테마 어디가 좋아?,테마
식당 재방문할만한 데 어딘가요?,식당
타이어 소매업 중에 괜찮은 곳 추천해줘,자동차 정비소
미용 가성비 좋은 데 알려줘,미용
쇼핑 분위기 좋은 곳 있어?,쇼핑
이탈리아 음식 가성비 좋은 데 알려줘,이탈리아 음식
관광 근처 어디 있어?,관광
"키즈카페, 실내놀이터 제일 만족스러웠던 곳?","키즈카페, 실내놀이터"
푸드코트 분위기 좋은 곳 있어?,푸드코트
주유소 요즘 인기 있는 곳은?,주유소
복합문화 관련 장소 알려줘,복합문화
"온천, 스파 가성비 좋은 데 알려줘","온천, 스파"
타이어 소매업 추천 부탁해,자동차 정비소
경양식 관련 제휴 혜택 뭐 있어?,경양식
워터파크 요즘 인기 있는 곳은?,워터파크
관광 중에 깔끔한 곳?,관광
아이스크림/빙수 가성비 좋은 데 알려줘,아이스크림/빙수
상담 어디가 좋아?,상담
자동차 세차장 관련 제휴 혜택 뭐 있어?,자동차 정비소
독서실 가성비 좋은 데 알려줘,독서실
전시관 관련 장소 알려줘,전시관
버거 근처 어디 있어?,버거
"온천, 스파 재방문할만한 데 어딘가요?","온천, 스파"
독서실 관련 장소 알려줘,독서실
"관람, 체험 근처 어디 있어?","관람, 체험"
푸드코트 근처 어디 있어?,푸드코트
복합문화 재방문할만한 데 어딘가요?,복합문화
심리 중에 괜찮은 곳 추천해줘,심리
"키즈카페, 실내놀이터 관련 장소 알려줘","키즈카페, 실내놀이터"
복합문화 제일 만족스러웠던 곳?,복합문화
타이어 소매업 근처 어디 있어?,자동차 정비소
카페 추천 부탁해,카페
경양식 중에 괜찮은 곳 추천해줘,경양식
아이스크림/빙수 요즘 인기 있는 곳은?,아이스크림/빙수
이탈리아 음식 재방문할만한 데 어딘가요?,이탈리아 음식
"키즈카페, 실내놀이터 관련 제휴 혜택 뭐 있어?","키즈카페, 실내놀이터"
패밀리레스토랑 중에 괜찮은 곳 추천해줘,패밀리레스토랑
워터파크 관련 제휴 혜택 뭐 있어?,워터파크
미용 중에 깔끔한 곳?,미용
경양식 재방문할만한 데 어딘가요?,경양식
워터파크 분위기 좋은 곳 있어?,워터파크
호텔 제일 만족스러웠던 곳?,호텔
"도서, 음반, 문구 근처 어디 있어?","도서, 음반, 문구"
아이스크림/빙수 중에 깔끔한 곳?,아이스크림/빙수
미술관 추천 부탁해,미술관
영화관 관련 제휴 혜택 뭐 있어?,영화관
상담 중에 괜찮은 곳 추천해줘,상담
치킨 분위기 좋은 곳 있어?,치킨
호텔 분위기 좋은 곳 있어?,호텔
자동차 정비소 관련 제휴 혜택 뭐 있어?,자동차 정비소
상담 근처 어디 있어?,상담
치킨 요즘 인기 있는 곳은?,치킨
"온천, 스파 관련 제휴 혜택 뭐 있어?","온천, 스파"
아이스크림/빙수 재방문할만한 데 어딘가요?,아이스크림/빙수
버거 추천 부탁해,버거
식당 할인 받는 데 있어?,식당
영화관 요즘 인기 있는 곳은?,영화관
경양식 할인 받는 데 있어?,경양식
아이스크림/빙수 어디가 좋아?,아이스크림/빙수
식당 추천 부탁해,식당
호텔 가성비 좋은 데 알려줘,호텔
제과 관련 제휴 혜택 뭐 있어?,제과
영화관 제일 만족스러웠던 곳?,영화관
전시관 근처 어디 있어?,전시관
"도서, 음반, 문구 할인 받는 데 있어?","도서, 음반, 문구"
자동차 세차장 재방문할만한 데 어딘가요?,자동차 정비소
패밀리레스토랑 분위기 좋은 곳 있어?,패밀리레스토랑
"도서, 음반, 문구 제일 만족스러웠던 곳?","도서, 음반, 문구"
호텔 중에 깔끔한 곳?,호텔
푸드코트 요즘 인기 있는 곳은?,푸드코트
전시관 관련 제휴 혜택 뭐 있어?,전시관
관광 관련 제휴 혜택 뭐 있어?,관광
미술관 관련 장소 알려줘,미술관
슈퍼마켓 할인 받는 데 있어?,슈퍼마켓
테마파크 재방문할만한 데 어딘가요?,테마
타이어 소매업 할인 받는 데 있어?,자동차 정비소
"키즈카페, 실내놀이터 할인 받는 데 있어?","키즈카페, 실내놀이터"
"온천, 스파 분위기 좋은 곳 있어?","온천, 스파"
슈퍼마켓 관련 장소 알려줘,슈퍼마켓
테마 분위기 좋은 곳 있어?,테마
영화관 중에 깔끔한 곳?,영화관
전시관 제휴처 뭐 있어?,전시관
미용 제휴처 뭐 있어?,미용
"도서, 음반, 문구 추천 부탁해","도서, 음반, 문구"
테마 근처 어디 있어?,테마
주유소 중에 괜찮은 곳 추천해줘,주유소
버거 제휴처 뭐 있어?,버거
상담 제휴처 뭐 있어?,상담
슈퍼마켓 제휴처 뭐 있어?,슈퍼마켓
"관람, 체험 중에 괜찮은 곳 추천해줘","관람, 체험"
"온천, 스파 요즘 인기 있는 곳은?","온천, 스파"
쇼핑 가성비 좋은 데 알려줘,쇼핑
편의점 중에 깔끔한 곳?,편의점
피자 가고 싶은데 추천 좀,피자
버거 관련 장소 알려줘,버거
피자 어디가 좋아?,피자
버거 중에 괜찮은 곳 추천해줘,버거
상담 중에 깔끔한 곳?,상담
경양식 중에 깔끔한 곳?,경양식
식당 관련 장소 알려줘,식당
"관람, 체험 추천 부탁해","관람, 체험"
학원 추천 부탁해,학원
피자 분위기 좋은 곳 있어?,피자
학원 근처 어디 있어?,학원
"관람, 체험 관련 장소 알려줘","관람, 체험"
"관람, 체험 관련 제휴 혜택 뭐 있어?","관람, 체험"
테마파크 근처 어디 있어?,테마
패밀리레스토랑 추천 부탁해,패밀리레스토랑
학원 분위기 좋은 곳 있어?,학원
"관람, 체험 제일 만족스러웠던 곳?","관람, 체험"
심리 관련 장소 알려줘,심리
버거 중에 깔끔한 곳?,버거
푸드코트 할인 받는 데 있어?,푸드코트
학원 관련 제휴 혜택 뭐 있어?,학원
심리 분위기 좋은 곳 있어?,심리
이탈리아 음식 근처 어디 있어?,이탈리아 음식
미술관 가고 싶은데 추천 좀,미술관
"도서, 음반, 문구 중에 괜찮은 곳 추천해줘","도서, 음반, 문구"
"관람, 체험 제휴처 뭐 있어?","관람, 체험"
복합문화 제휴처 뭐 있어?,복합문화
복합문화 요즘 인기 있는 곳은?,복합문화
테마파크 제일 만족스러웠던 곳?,테마
슈퍼마켓 추천 부탁해,슈퍼마켓
편의점 관련 장소 알려줘,편의점
독서실 어디가 좋아?,독서실
아이스크림/빙수 제휴처 뭐 있어?,아이스크림/빙수
"도서, 음반, 문구 분위기 좋은 곳 있어?","도서, 음반, 문구"
테마 가고 싶은데 추천 좀,테마
자동차 세차장 제휴처 뭐 있어?,자동차 정비소
영화관 어디가 좋아?,영화관
테마파크 관련 제휴 혜택 뭐 있어?,테마
미술관 재방문할만한 데 어딘가요?,미술관
워터파크 중에 깔끔한 곳?,워터파크
미술관 근처 어디 있어?,미술관
관광 제휴처 뭐 있어?,관광
심리 제일 만족스러웠던 곳?,심리
타이어 소매업 어디가 좋아?,자동차 정비소
"온천, 스파 관련 장소 알려줘","온천, 스파"
편의점 제일 만족스러웠던 곳?,편의점
루지 중에 깔끔한 곳?,루지
"키즈카페, 실내놀이터 가성비 좋은 데 알려줘","키즈카페, 실내놀이터"
테마파크 제휴처 뭐 있어?,테마
"도서, 음반, 문구 요즘 인기 있는 곳은?","도서, 음반, 문구"
치킨 재방문할만한 데 어딘가요?,치킨
"온천, 스파 추천 부탁해","온천, 스파"
학원 중에 깔끔한 곳?,학원
경양식 가성비 좋은 데 알려줘,경양식
호텔 근처 어디 있어?,호텔
미술관 요즘 인기 있는 곳은?,미술관
치킨 가성비 좋은 데 알려줘,치킨
미술관 제일 만족스러웠던 곳?,미술관
"관람, 체험 분위기 좋은 곳 있어?","관람, 체험"
독서실 추천 부탁해,독서실
미용 제일 만족스러웠던 곳?,미용
자동차 세차장 어디가 좋아?,자동차 정비소
식당 제일 만족스러웠던 곳?,식당
자동차 세차장 분위기 좋은 곳 있어?,자동차 정비소
경양식 분위기 좋은 곳 있어?,경양식
타이어 소매업 중에 깔끔한 곳?,자동차 정비소
버거 관련 제휴 혜택 뭐 있어?,버거
주유소 재방문할만한 데 어딘가요?,주유소
편의점 관련 제휴 혜택 뭐 있어?,편의점
식당 관련 제휴 혜택 뭐 있어?,식당
제과 제일 만족스러웠던 곳?,제과
관광 요즘 인기 있는 곳은?,관광
피자 중에 괜찮은 곳 추천해줘,피자
복합문화 관련 제휴 혜택 뭐 있어?,복합문화
상담 할인 받는 데 있어?,상담
테마 추천 부탁해,테마
자동차 정비소 요즘 인기 있는 곳은?,자동차 정비소
"관람, 체험 요즘 인기 있는 곳은?","관람, 체험"
"온천, 스파 근처 어디 있어?","온천, 스파"
쇼핑 추천 부탁해,쇼핑
독서실 제휴처 뭐 있어?,독서실
독서실 관련 제휴 혜택 뭐 있어?,독서실
주유소 관련 장소 알려줘,주유소
루지 근처 어디 있어?,루지
학원 관련 장소 알려줘,학원
루지 제휴처 뭐 있어?,루지
테마 할인 받는 데 있어?,테마
자동차 정비소 할인 받는 데 있어?,자동차 정비소
이탈리아 음식 관련 장소 알려줘,이탈리아 음식
"도서, 음반, 문구 관련 제휴 혜택 뭐 있어?","도서, 음반, 문구"
치킨 중에 깔끔한 곳?,치킨
아이스크림/빙수 제일 만족스러웠던 곳?,아이스크림/빙수
치킨 어디가 좋아?,치킨
피자 할인 받는 데 있어?,피자
주유소 제휴처 뭐 있어?,주유소
주유소 제일 만족스러웠던 곳?,주유소
패밀리레스토랑 중에 깔끔한 곳?,패밀리레스토랑
아이스크림/빙수 가고 싶은데 추천 좀,아이스크림/빙수
영화관 재방문할만한 데 어딘가요?,영화관
카페 요즘 인기 있는 곳은?,카페
슈퍼마켓 분위기 좋은 곳 있어?,슈퍼마켓
영화관 중에 괜찮은 곳 추천해줘,영화관
카페 중에 괜찮은 곳 추천해줘,카페
편의점 근처 어디 있어?,편의점
편의점 가고 싶은데 추천 좀,편의점
제과 요즘 인기 있는 곳은?,제과
패밀리레스토랑 제휴처 뭐 있어?,패밀리레스토랑
편의점 분위기 좋은 곳 있어?,편의점
푸드코트 관련 제휴 혜택 뭐 있어?,푸드코트
패밀리레스토랑 할인 받는 데 있어?,패밀리레스토랑
"관람, 체험 어디가 좋아?","관람, 체험"
패밀리레스토랑 관련 제휴 혜택 뭐 있어?,패밀리레스토랑
관광 관련 장소 알려줘,관광
독서실 중에 깔끔한 곳?,독서실
호텔 재방문할만한 데 어딘가요?,호텔
루지 분위기 좋은 곳 있어?,루지
전시관 할인 받는 데 있어?,전시관
"도서, 음반, 문구 재방문할만한 데 어딘가요?","도서, 음반, 문구"
제과 가고 싶은데 추천 좀,제과
독서실 할인 받는 데 있어?,독서실
타이어 소매업 관련 제휴 혜택 뭐 있어?,자동차 정비소
전시관 재방문할만한 데 어딘가요?,전시관
관광 할인 받는 데 있어?,관광
관광 중에 괜찮은 곳 추천해줘,관광
영화관 가성비 좋은 데 알려줘,영화관
루지 가고 싶은데 추천 좀,루지
학원 가고 싶은데 추천 좀,학원
상담 가성비 좋은 데 알려줘,상담
자동차 정비소 어디 있어?,자동차 정비소
"도서, 음반, 문구 가성비 좋은 데 알려줘","도서, 음반, 문구"
이탈리아 음식 제휴처 뭐 있어?,이탈리아 음식
학원 요즘 인기 있는 곳은?,학원
아이스크림/빙수 관련 제휴 혜택 뭐 있어?,아이스크림/빙수
제과 근처 어디 있어?,제과
슈퍼마켓 중에 깔끔한 곳?,슈퍼마켓
"온천, 스파 제일 만족스러웠던 곳?","온천, 스파"
자동차 정비소 가성비 좋은 데 알려줘,자동차 정비소
슈퍼마켓 가성비 좋은 데 알려줘,슈퍼마켓
식당 가성비 좋은 데 알려줘,식당
카페 근처 어디 있어?,카페
자동차 세차장 가성비 좋은 데 알려줘,자동차 정비소
복합문화 가성비 좋은 데 알려줘,복합문화
테마파크 추천 부탁해,테마
이탈리아 음식 가고 싶은데 추천 좀,이탈리아 음식
경양식 제일 만족스러웠던 곳?,경양식
"온천, 스파 중에 깔끔한 곳?","온천, 스파"
